"TOA5","CR200test","CR200X","No_SN","CR200X.Std.02","RMyoungFinalProgram2021_cr200.CR2","36029","TableMin"
"TIMESTAMP","RECORD","BattV_Avg","AirTC_Avg","RH_Avg","WSpeed_Avg","WDir_Avg"
"TS","RN","Volts","Deg C","%","meters/sec","degrees"
"","","Avg","Avg","Avg","Avg","Avg"
"2023-06-21 12:35:00",27,13.75953,27.00038,21.4952,4.597167,130.605
"2023-06-21 12:40:00",28,13.76715,26.87769,21.24953,5.156501,122.0033
"2023-06-21 12:45:00",29,13.7435,27.16521,20.83579,4.994166,109.8267
"2023-06-21 12:50:00",30,13.74217,27.20593,20.51235,4.989501,98.36833
"2023-06-21 12:55:00",31,13.76196,27.37911,20.59273,4.853166,116.1083
"2023-06-21 13:00:00",32,13.72603,27.78629,20.30923,4.558666,112.4467
"2023-06-21 13:05:00",33,13.73319,27.97189,19.70051,5.2675,118.2317
"2023-06-21 13:10:00",34,13.75046,27.68678,19.90915,5.151833,107.8933
"2023-06-21 13:15:00",35,13.74752,27.89626,18.39574,5.142166,93.07
"2023-06-21 13:20:00",36,13.70114,28.30237,16.76972,4.827332,97.06833
"2023-06-21 13:25:00",37,13.71291,28.19578,15.35054,6.0795,83.60335
"2023-06-21 13:30:00",38,13.71429,28.30071,15.78819,5.524,85.34335
"2023-06-21 13:35:00",39,13.69046,28.3054,15.81292,5.803667,96.88
"2023-06-21 13:40:00",40,13.69379,28.59508,15.38323,5.657333,89.93999
"2023-06-21 13:45:00",41,13.71575,28.37039,15.4761,5.103,95.69833
"2023-06-21 13:50:00",42,13.67946,28.51218,15.79051,5.281667,87.96334
"2023-06-21 13:55:00",43,13.71244,28.53985,16.37058,5.302166,82.00832
"2023-06-21 14:00:00",44,13.67295,28.35556,16.66777,4.916666,89.26498
"2023-06-21 14:05:00",45,13.69729,28.94098,15.93133,5.308833,80.56167
"2023-06-21 14:10:00",46,13.66437,28.65822,16.11855,4.976,87.91998
"2023-06-21 14:15:00",47,13.68397,28.73239,15.86262,5.449667,92.32833
"2023-06-21 14:20:00",48,13.66849,28.95736,15.90289,5.298333,72.76
"2023-06-21 14:25:00",49,13.67001,28.96255,15.89592,4.408834,81.64665
"2023-06-21 14:30:00",50,13.73162,28.8781,16.00031,4.882834,97.33334
"2023-06-21 14:35:00",51,13.68355,28.82063,16.42726,4.622,66.33168
"2023-06-21 14:40:00",52,13.7986,28.94609,16.47831,4.542334,84.24001
"2023-06-21 14:45:00",53,13.66255,28.84302,16.83947,5.709999,99.13501
"2023-06-21 14:50:00",54,13.70175,28.93775,16.9831,4.842166,101.435
"2023-06-21 14:55:00",55,13.63681,28.91778,16.87066,4.313667,92.91833
"2023-06-21 15:00:00",56,13.67987,28.98594,16.85273,4.202167,85.08833
"2023-06-21 15:05:00",57,13.62594,29.05374,16.6681,3.9845,83.52332
"2023-06-21 15:10:00",58,13.60448,28.93464,16.76952,4.578166,100.9133
"2023-06-21 15:15:00",59,13.65238,29.022,16.45638,3.283166,67.64
"2023-06-21 15:20:00",60,13.65725,29.00223,16.62051,2.576333,88.08001
"2023-06-21 15:25:00",61,13.68986,29.50912,16.162,3.218667,96.61164
"2023-06-21 15:30:00",62,13.70655,29.5062,16.24479,4.3455,89.75668
"2023-06-21 15:35:00",63,13.74869,29.43329,16.01693,3.529501,85.385
"2023-06-21 15:40:00",64,13.6864,29.62016,15.69122,3.919833,62.88833
"2023-06-21 15:45:00",65,13.60729,29.43195,15.90999,4.074334,70.20335
"2023-06-21 15:50:00",66,13.66787,29.47919,15.88279,3.897833,86.01668
"2023-06-21 15:55:00",67,13.60784,29.31702,16.08365,4.660833,86.90501
"2023-06-21 16:00:00",68,13.68965,29.35538,15.85392,4.0505,62.31666
"2023-06-21 16:05:00",69,13.71702,29.4173,15.56523,3.797667,69.43666
"2023-06-21 16:10:00",70,13.64322,29.39272,15.14597,3.6665,63.20832
"2023-06-21 16:15:00",71,13.62898,29.46295,15.37427,3.945166,67.87167
"2023-06-21 16:20:00",72,13.68491,29.55664,15.54595,3.750999,75.68667
"2023-06-21 16:25:00",73,13.67944,29.17739,17.15119,3.533667,85.27502
"2023-06-21 16:30:00",74,13.64743,29.04537,16.50688,3.771,82.62
"2023-06-21 16:35:00",75,13.65739,29.20881,14.97577,4.316833,66.94666
"2023-06-21 16:40:00",76,13.69872,29.07162,15.01947,4.895,78.94999
"2023-06-21 16:45:00",77,13.62202,28.99381,15.29224,3.806,59.77334
"2023-06-21 16:50:00",78,13.65079,29.09961,15.46768,3.479,63.91833
"2023-06-21 16:55:00",79,13.63474,28.72885,16.34133,4.329333,74.105
"2023-06-21 17:00:00",80,13.60484,28.30356,18.67688,3.905,92.68501
"2023-06-21 17:05:00",81,13.69555,28.31568,17.6605,2.5845,65.96665
"2023-06-21 17:10:00",82,13.67075,28.34368,16.02112,2.991666,54.86168
