"TOA5","Lebohang AQMS","CR1000","41024","CR1000.Std.32.05","CPU:Large AQMS.cr1","42754","Table1"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","RH","SlrW_Avg","Rain_mm_Tot","Amb_Press_Avg","Batt_Volt_Avg","SO2_Avg","H2S_Avg","NO_Avg","NO2_Avg","NOX_Avg","PM10_Avg","PM25_Avg","O3_Avg","CO_Avg","CO2_Avg","LineV_Avg","Log_Temp_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","%","W/mÂ²","mm","hPa","Volts","ppb","ppb","ppb","ppb","ppb","ug.m-3","ug.m-3","ppb","ppm","ppm","Volts","Deg C"
"","","WVc","WVc","WVc","Max","Avg","Smp","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-03-16 01:14:00",94453,3.609866,93.02912,5.582819,4.2828,14.11251,97.43835,0,0,834.9363,12.83819,-300.9353,0,0,1.353531,2.707062,33.83828,14.88884,0.2255981,-398.615,419.5947,0,22.27373
"2023-03-16 01:15:00",94454,3.3175,106.2451,6.872879,3.881,14.11807,97.57256,0,0,834.9333,12.83735,-341.9957,0,0,1.804732,3.383868,33.83865,18.04729,3.383842,-400.1983,419.5992,0,22.27825
"2023-03-16 01:16:00",94455,3.387733,94.08743,7.342659,3.8222,14.1342,97.6407,0,0,834.9349,12.83851,-335.6827,0,0,2.255932,3.158305,33.83898,16.01712,3.158305,-407.6469,419.6034,0,22.27825
"2023-03-16 01:17:00",94456,3.070867,99.46417,8.707153,3.489,14.13897,97.57091,0,0,834.9636,12.83874,-342.4536,0,0,1.579165,2.707145,33.83931,17.82205,3.609512,-408.102,419.6074,0,22.27825
"2023-03-16 01:18:00",94457,3.0284,96.36137,14.678,3.9496,14.20737,97.67513,0,0,835.0417,12.83886,-371.5576,0,0,1.353579,2.707158,33.83948,20.30368,6.091121,-414.4209,419.6095,0,22.26469
"2023-03-16 01:19:00",94458,3.114966,113.1149,8.721614,3.342,14.16283,97.67513,0,0,835.0894,12.83901,-332.5313,0,0.2255979,2.255979,3.609567,33.83969,16.69425,2.255979,-405.1739,419.6122,0,22.26469
"2023-03-16 01:20:00",94459,3.585366,108.2679,8.981642,4.0966,14.19118,97.74319,0,0,835.0827,12.83916,-365.9019,0,1.35352,1.35352,3.60939,33.83799,16.91897,4.737366,-415.7564,419.5911,0,22.25113
"2023-03-16 01:21:00",94460,3.539633,114.728,10.75801,4.2338,14.23091,97.77721,0,0,835.029,12.8391,-347.1762,0,0,1.579104,3.83496,33.83787,16.01658,4.511687,-408.9871,419.5896,0,22.25113
"2023-03-16 01:22:00",94461,4.019833,114.7089,5.745496,4.5474,14.123,97.70908,0,0,834.9241,12.8389,-357.3326,0,0,2.030299,3.60942,33.83831,16.24239,4.962953,-409.4436,419.5951,0,22.25113
"2023-03-16 01:23:00",94462,3.668667,110.8648,7.978498,4.4592,14.11052,97.67329,0,0,834.928,12.8391,-360.722,0,0,2.255923,3.383883,33.83884,18.04738,4.06066,-412.3826,419.6016,0,22.23306
